main_cuisine,num_restaurants,avg_taste_score,avg_env_score,avg_service_score,avg_price
粥粉面,1499,7.61713940972922,7.56460693959337,7.605286694776788,21.08390243902439
茶餐厅,789,7.824531286578531,7.834280711622657,7.828535935718939,40.820402298850574
咖啡厅,724,8.236138110121594,8.288326796708317,8.359725946349172,36.173370319001386
湘菜,720,8.287209990808927,8.276387334240912,8.24079620572978,74.52639517345399
小龙虾,707,7.433667497040376,7.379777521369918,7.4218466454029555,96.4703196347032
私房菜,693,7.29929233538131,7.29574031911046,7.297515467849238,216.34146341463415
粤式茶点,676,7.71727786177615,7.739603574462143,7.605862997196256,64.90517241379311
西餐,656,8.36575817846976,8.472805279264788,8.430641796422501,137.6673151750973
东北菜,637,7.489309258999131,7.482703296228373,7.50000163048752,59.41706161137441
茶饮果汁,616,8.390938952981852,8.326703182613786,8.364131414113768,17.896103896103895
